STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2004,,1939914,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2005,,1944314.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2006,,1948463.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2007,,1953471.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2008,,1949528.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2009,,1945520.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2010,,1948063.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2011,,1959846,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2012,,1973908,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2013,,1979358,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2014,,1979307,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2015,,1977828,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2016,,1976078,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2017,,1976530,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2018,,1974207,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2019,,1965787,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2020,,1947069,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2021,,1930844,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2022,,1898279,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2023,,1864062,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2006,,2208276.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2007,,2238933.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2008,,2268288.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2009,,2298789.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2010,,2326779.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2015,,2104872,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AM,Armenia,2016,,2081399,,,,,
