reason,citizen,geo,year,Illegal Third Country Nationals
Illegal entry,Asia,Norway,2022,400.0
Illegal entry,Asia,Norway,2023,1130.0
Illegal entry,Asia,Poland,2021,3295.0
Illegal entry,Asia,Poland,2022,1800.0
Illegal entry,Asia,Poland,2023,2815.0
Illegal entry,Asia,Romania,2021,645.0
Illegal entry,Asia,Romania,2022,1500.0
Illegal entry,Asia,Romania,2023,445.0
Illegal entry,Asia,Slovenia,2021,6905.0
Illegal entry,Asia,Slovenia,2022,18195.0
Illegal entry,Asia,Slovenia,2023,37765.0
Illegal entry,Asia,Slovakia,2021,890.0
Illegal entry,Asia,Slovakia,2022,9600.0
Illegal entry,Asia,Slovakia,2023,45360.0
Illegal entry,Australia,Switzerland,2020,15.0
Illegal entry,Australia,Switzerland,2021,10.0
Illegal entry,Australia,Switzerland,2022,30.0
Illegal entry,Australia,Switzerland,2023,30.0
Illegal entry,Australia,Germany,2023,5.0
Illegal entry,Australia,Greece,2023,5.0
Illegal entry,Australia,Italy,2021,5.0
Illegal entry,Australia,Italy,2022,5.0
Illegal entry,Australia,Italy,2023,10.0
Illegal entry,Azerbaijan,Switzerland,2020,10.0
Illegal entry,Azerbaijan,Switzerland,2021,10.0
Illegal entry,Azerbaijan,Switzerland,2022,5.0
Illegal entry,Azerbaijan,Switzerland,2023,10.0
Illegal entry,Azerbaijan,Czechia,2022,15.0
Illegal entry,Azerbaijan,Czechia,2023,5.0
Illegal entry,Azerbaijan,Germany,2022,180.0
Illegal entry,Azerbaijan,Germany,2023,215.0
Illegal entry,Azerbaijan,Estonia,2021,5.0
Illegal entry,Azerbaijan,Estonia,2022,15.0
Illegal entry,Azerbaijan,Estonia,2023,10.0
Illegal entry,Azerbaijan,Greece,2021,5.0
Illegal entry,Azerbaijan,Greece,2022,5.0
Illegal entry,Azerbaijan,Greece,2023,10.0
Illegal entry,Azerbaijan,Croatia,2022,5.0
Illegal entry,Azerbaijan,Croatia,2023,50.0
Illegal entry,Azerbaijan,Hungary,2021,5.0
Illegal entry,Azerbaijan,Hungary,2022,10.0
Illegal entry,Azerbaijan,Hungary,2023,10.0
Illegal entry,Azerbaijan,Italy,2021,10.0
Illegal entry,Azerbaijan,Italy,2022,5.0
Illegal entry,Azerbaijan,Italy,2023,15.0
Illegal entry,Azerbaijan,Latvia,2022,5.0
Illegal entry,Azerbaijan,Poland,2021,5.0
Illegal entry,Azerbaijan,Poland,2022,110.0
Illegal entry,Azerbaijan,Poland,2023,145.0
Illegal entry,Azerbaijan,Slovenia,2022,5.0
Illegal entry,Azerbaijan,Slovenia,2023,40.0
Illegal entry,Bosnia and Herzegovina,Switzerland,2020,40.0
Illegal entry,Bosnia and Herzegovina,Switzerland,2021,60.0
Illegal entry,Bosnia and Herzegovina,Switzerland,2022,60.0
Illegal entry,Bosnia and Herzegovina,Switzerland,2023,65.0
Illegal entry,Bosnia and Herzegovina,Germany,2022,590.0
Illegal entry,Bosnia and Herzegovina,Germany,2023,390.0
Illegal entry,Bosnia and Herzegovina,Greece,2023,5.0
Illegal entry,Bosnia and Herzegovina,France,2021,15.0
Illegal entry,Bosnia and Herzegovina,France,2022,10.0
Illegal entry,Bosnia and Herzegovina,France,2023,5.0
Illegal entry,Bosnia and Herzegovina,Croatia,2021,55.0
Illegal entry,Bosnia and Herzegovina,Croatia,2022,60.0
Illegal entry,Bosnia and Herzegovina,Croatia,2023,80.0
Illegal entry,Bosnia and Herzegovina,Italy,2021,135.0
Illegal entry,Bosnia and Herzegovina,Italy,2022,120.0
Illegal entry,Bosnia and Herzegovina,Italy,2023,115.0
Illegal entry,Bosnia and Herzegovina,Montenegro,2022,15.0
Illegal entry,Bosnia and Herzegovina,Poland,2022,5.0
Illegal entry,Bosnia and Herzegovina,Slovenia,2021,120.0
Illegal entry,Bosnia and Herzegovina,Slovenia,2022,45.0
Illegal entry,Bosnia and Herzegovina,Slovenia,2023,30.0
Illegal entry,Bangladesh,Bulgaria,2021,5.0
Illegal entry,Bangladesh,Bulgaria,2022,10.0
Illegal entry,Bangladesh,Bulgaria,2023,30.0
Illegal entry,Bangladesh,Switzerland,2020,10.0
Illegal entry,Bangladesh,Switzerland,2021,30.0
Illegal entry,Bangladesh,Switzerland,2022,45.0
Illegal entry,Bangladesh,Switzerland,2023,55.0
Illegal entry,Bangladesh,Cyprus,2023,335.0
Illegal entry,Bangladesh,Czechia,2021,10.0
Illegal entry,Bangladesh,Czechia,2022,50.0
Illegal entry,Bangladesh,Czechia,2023,10.0
Illegal entry,Bangladesh,Germany,2022,135.0
Illegal entry,Bangladesh,Germany,2023,305.0
Illegal entry,Bangladesh,Denmark,2021,5.0
Illegal entry,Bangladesh,Greece,2021,1650.0
Illegal entry,Bangladesh,Greece,2022,1745.0
Illegal entry,Bangladesh,Greece,2023,1035.0
Illegal entry,Bangladesh,Finland,2023,5.0
Illegal entry,Bangladesh,France,2021,215.0
Illegal entry,Bangladesh,France,2022,105.0
Illegal entry,Bangladesh,France,2023,60.0
Illegal entry,Bangladesh,Croatia,2021,1685.0
Illegal entry,Bangladesh,Croatia,2022,2865.0
Illegal entry,Bangladesh,Croatia,2023,2685.0
Illegal entry,Bangladesh,Hungary,2021,780.0
Illegal entry,Bangladesh,Hungary,2022,455.0
Illegal entry,Bangladesh,Hungary,2023,480.0
Illegal entry,Bangladesh,Italy,2021,8460.0
Illegal entry,Bangladesh,Italy,2022,16185.0
Illegal entry,Bangladesh,Italy,2023,13915.0
Illegal entry,Bangladesh,Latvia,2023,5.0
Illegal entry,Bangladesh,Malta,2022,130.0
Illegal entry,Bangladesh,Malta,2023,255.0
Illegal entry,Bangladesh,Norway,2022,5.0
Illegal entry,Bangladesh,Norway,2023,20.0
Illegal entry,Bangladesh,Poland,2021,10.0
Illegal entry,Bangladesh,Poland,2022,15.0
Illegal entry,Bangladesh,Poland,2023,25.0
Illegal entry,Bangladesh,Romania,2021,80.0
Illegal entry,Bangladesh,Romania,2022,60.0
Illegal entry,Bangladesh,Romania,2023,5.0
Illegal entry,Bangladesh,Slovenia,2021,840.0
Illegal entry,Bangladesh,Slovenia,2022,2005.0
Illegal entry,Bangladesh,Slovenia,2023,3830.0
Illegal entry,Bangladesh,Slovakia,2021,25.0
Illegal entry,Bangladesh,Slovakia,2022,65.0
Illegal entry,Bangladesh,Slovakia,2023,85.0
Illegal entry,Burkina Faso,Switzerland,2020,10.0
Illegal entry,Burkina Faso,Switzerland,2021,10.0
Illegal entry,Burkina Faso,Switzerland,2022,5.0
Illegal entry,Burkina Faso,Switzerland,2023,15.0
Illegal entry,Burkina Faso,Germany,2022,25.0
Illegal entry,Burkina Faso,Germany,2023,40.0
Illegal entry,Burkina Faso,Greece,2021,10.0
Illegal entry,Burkina Faso,Greece,2022,10.0
Illegal entry,Burkina Faso,Greece,2023,10.0
Illegal entry,Burkina Faso,France,2021,10.0
Illegal entry,Burkina Faso,France,2022,20.0
Illegal entry,Burkina Faso,France,2023,15.0
Illegal entry,Burkina Faso,Croatia,2022,45.0
Illegal entry,Burkina Faso,Croatia,2023,10.0
Illegal entry,Burkina Faso,Hungary,2022,10.0
Illegal entry,Burkina Faso,Hungary,2023,5.0
Illegal entry,Burkina Faso,Italy,2021,255.0
Illegal entry,Burkina Faso,Italy,2022,405.0
Illegal entry,Burkina Faso,Italy,2023,8455.0
Illegal entry,Burkina Faso,Slovenia,2021,15.0
Illegal entry,Burkina Faso,Slovenia,2022,40.0
Illegal entry,Burkina Faso,Slovenia,2023,10.0
Illegal entry,Bahrain,Germany,2022,10.0
Illegal entry,Burundi,Switzerland,2020,5.0
Illegal entry,Burundi,Switzerland,2022,15.0
Illegal entry,Burundi,Switzerland,2023,5.0
Illegal entry,Burundi,Cyprus,2023,50.0
Illegal entry,Burundi,Germany,2022,530.0
Illegal entry,Burundi,Germany,2023,450.0
Illegal entry,Burundi,Greece,2021,10.0
Illegal entry,Burundi,Greece,2022,5.0
Illegal entry,Burundi,France,2022,5.0
Illegal entry,Burundi,Croatia,2022,4420.0
Illegal entry,Burundi,Croatia,2023,175.0
Illegal entry,Burundi,Hungary,2022,10.0
Illegal entry,Burundi,Italy,2021,5.0
Illegal entry,Burundi,Italy,2022,50.0
Illegal entry,Burundi,Norway,2023,15.0
Illegal entry,Burundi,Slovenia,2022,5105.0
Illegal entry,Burundi,Slovenia,2023,205.0
Illegal entry,Benin,Switzerland,2021,5.0
Illegal entry,Benin,Switzerland,2022,5.0
Illegal entry,Benin,Switzerland,2023,15.0
Illegal entry,Benin,Germany,2022,35.0
Illegal entry,Benin,Germany,2023,205.0
Illegal entry,Benin,Greece,2022,5.0
Illegal entry,Benin,France,2021,5.0
Illegal entry,Benin,France,2022,15.0
Illegal entry,Benin,France,2023,25.0
Illegal entry,Benin,Italy,2021,80.0
Illegal entry,Benin,Italy,2022,105.0
Illegal entry,Benin,Italy,2023,2160.0
Illegal entry,Benin,Slovenia,2022,5.0
Illegal entry,Benin,Slovenia,2023,5.0
Illegal entry,Bolivia,Switzerland,2020,10.0
Illegal entry,Bolivia,Switzerland,2021,25.0
Illegal entry,Bolivia,Switzerland,2022,15.0
Illegal entry,Bolivia,Switzerland,2023,20.0
Illegal entry,Bolivia,Germany,2022,35.0
Illegal entry,Bolivia,Germany,2023,45.0
Illegal entry,Bolivia,France,2021,5.0
Illegal entry,Bolivia,France,2022,10.0
Illegal entry,Bolivia,France,2023,25.0
Illegal entry,Bolivia,Croatia,2021,10.0
Illegal entry,Bolivia,Croatia,2022,60.0
Illegal entry,Bolivia,Croatia,2023,30.0
Illegal entry,Bolivia,Italy,2021,20.0
Illegal entry,Bolivia,Italy,2022,65.0
Illegal entry,Bolivia,Italy,2023,55.0
Illegal entry,Bolivia,Slovenia,2021,5.0
Illegal entry,Bolivia,Slovenia,2022,30.0
Illegal entry,Bolivia,Slovenia,2023,35.0
Illegal entry,Brazil,Switzerland,2020,200.0
Illegal entry,Brazil,Switzerland,2021,210.0
Illegal entry,Brazil,Switzerland,2022,345.0
Illegal entry,Brazil,Switzerland,2023,265.0
Illegal entry,Brazil,Germany,2022,45.0
Illegal entry,Brazil,Germany,2023,45.0
Illegal entry,Brazil,Estonia,2023,5.0
Illegal entry,Brazil,Greece,2021,5.0
Illegal entry,Brazil,Greece,2022,5.0
Illegal entry,Brazil,Greece,2023,20.0
Illegal entry,Brazil,Finland,2022,5.0
Illegal entry,Brazil,France,2021,80.0
Illegal entry,Brazil,France,2022,90.0
Illegal entry,Brazil,France,2023,85.0
Illegal entry,Brazil,Croatia,2021,5.0
Illegal entry,Brazil,Ireland,2021,5.0
Illegal entry,Brazil,Ireland,2022,5.0
Illegal entry,Brazil,Italy,2021,310.0
Illegal entry,Brazil,Italy,2022,405.0
Illegal entry,Brazil,Italy,2023,390.0
Illegal entry,Brazil,Luxembourg,2023,5.0
Illegal entry,Brazil,Poland,2023,10.0
Illegal entry,Brazil,Slovenia,2023,10.0
Illegal entry,Bahamas,Germany,2022,5.0
Illegal entry,Bhutan,Germany,2023,5.0
Illegal entry,Bhutan,Slovenia,2023,5.0
Illegal entry,Botswana,Switzerland,2022,5.0
Illegal entry,Botswana,Switzerland,2023,5.0
Illegal entry,Botswana,Germany,2022,5.0
Illegal entry,Botswana,Germany,2023,5.0
Illegal entry,Belarus,Switzerland,2020,15.0
Illegal entry,Belarus,Switzerland,2021,15.0
Illegal entry,Belarus,Switzerland,2022,20.0
Illegal entry,Belarus,Switzerland,2023,10.0
Illegal entry,Belarus,Czechia,2021,20.0
Illegal entry,Belarus,Czechia,2022,15.0
Illegal entry,Belarus,Germany,2022,165.0
Illegal entry,Belarus,Germany,2023,145.0
Illegal entry,Belarus,Estonia,2021,5.0
Illegal entry,Belarus,Estonia,2022,15.0
Illegal entry,Belarus,Estonia,2023,5.0
Illegal entry,Belarus,Greece,2021,5.0
Illegal entry,Belarus,Greece,2022,5.0
Illegal entry,Belarus,Greece,2023,10.0
Illegal entry,Belarus,Finland,2021,10.0
Illegal entry,Belarus,Finland,2022,15.0
Illegal entry,Belarus,Finland,2023,25.0
Illegal entry,Belarus,France,2021,5.0
Illegal entry,Belarus,France,2022,5.0
Illegal entry,Belarus,France,2023,5.0
Illegal entry,Belarus,Italy,2021,20.0
Illegal entry,Belarus,Italy,2022,20.0
Illegal entry,Belarus,Italy,2023,15.0
Illegal entry,Belarus,Luxembourg,2023,5.0
Illegal entry,Belarus,Latvia,2022,10.0
Illegal entry,Belarus,Norway,2022,5.0
Illegal entry,Belarus,Poland,2021,25.0
Illegal entry,Belarus,Poland,2022,315.0
Illegal entry,Belarus,Poland,2023,365.0
Illegal entry,Belarus,Slovenia,2023,5.0
Illegal entry,Belize,Germany,2022,5.0
Illegal entry,Canada,Switzerland,2020,35.0
Illegal entry,Canada,Switzerland,2021,35.0
Illegal entry,Canada,Switzerland,2022,60.0
Illegal entry,Canada,Switzerland,2023,60.0
Illegal entry,Canada,Germany,2022,5.0
Illegal entry,Canada,Germany,2023,15.0
Illegal entry,Canada,Greece,2021,5.0
Illegal entry,Canada,Greece,2022,5.0
Illegal entry,Canada,Italy,2021,5.0
Illegal entry,Canada,Italy,2022,5.0
Illegal entry,Canada,Italy,2023,10.0
Illegal entry,Democratic Republic of the Congo,Switzerland,2020,25.0
Illegal entry,Democratic Republic of the Congo,Switzerland,2021,35.0
Illegal entry,Democratic Republic of the Congo,Switzerland,2022,15.0
Illegal entry,Democratic Republic of the Congo,Switzerland,2023,30.0
Illegal entry,Democratic Republic of the Congo,Cyprus,2023,400.0
Illegal entry,Democratic Republic of the Congo,Czechia,2022,5.0
Illegal entry,Democratic Republic of the Congo,Germany,2022,195.0
Illegal entry,Democratic Republic of the Congo,Germany,2023,215.0
Illegal entry,Democratic Republic of the Congo,Estonia,2023,5.0
Illegal entry,Democratic Republic of the Congo,Greece,2021,480.0
Illegal entry,Democratic Republic of the Congo,Greece,2022,415.0
Illegal entry,Democratic Republic of the Congo,Greece,2023,1075.0
Illegal entry,Democratic Republic of the Congo,France,2021,5.0
Illegal entry,Democratic Republic of the Congo,France,2022,5.0
Illegal entry,Democratic Republic of the Congo,Croatia,2022,165.0
Illegal entry,Democratic Republic of the Congo,Croatia,2023,435.0
Illegal entry,Democratic Republic of the Congo,Italy,2021,10.0
Illegal entry,Democratic Republic of the Congo,Italy,2022,45.0
Illegal entry,Democratic Republic of the Congo,Italy,2023,315.0
Illegal entry,Democratic Republic of the Congo,Norway,2022,5.0
Illegal entry,Democratic Republic of the Congo,Norway,2023,10.0
Illegal entry,Democratic Republic of the Congo,Poland,2021,20.0
Illegal entry,Democratic Republic of the Congo,Poland,2022,10.0
Illegal entry,Democratic Republic of the Congo,Poland,2023,5.0
Illegal entry,Democratic Republic of the Congo,Slovenia,2021,5.0
Illegal entry,Democratic Republic of the Congo,Slovenia,2022,455.0
Illegal entry,Democratic Republic of the Congo,Slovenia,2023,640.0
Illegal entry,Central African Republic,Germany,2022,5.0
Illegal entry,Central African Republic,Germany,2023,5.0
Illegal entry,Central African Republic,Greece,2021,5.0
Illegal entry,Central African Republic,Greece,2022,10.0
Illegal entry,Central African Republic,Greece,2023,5.0
Illegal entry,Central African Republic,France,2022,5.0
Illegal entry,Central African Republic,Croatia,2023,5.0
Illegal entry,Central African Republic,Italy,2021,10.0
Illegal entry,Central African Republic,Italy,2022,5.0
Illegal entry,Central African Republic,Italy,2023,40.0
Illegal entry,Central African Republic,Slovenia,2022,5.0
Illegal entry,Central African Republic,Slovenia,2023,5.0
Illegal entry,Congo,Bulgaria,2023,10.0
Illegal entry,Congo,Switzerland,2020,15.0
Illegal entry,Congo,Switzerland,2021,15.0
Illegal entry,Congo,Switzerland,2022,15.0
Illegal entry,Congo,Switzerland,2023,25.0
Illegal entry,Congo,Cyprus,2023,20.0
Illegal entry,Congo,Czechia,2022,5.0
Illegal entry,Congo,Germany,2022,30.0
Illegal entry,Congo,Germany,2023,40.0
Illegal entry,Congo,Greece,2021,65.0
Illegal entry,Congo,Greece,2022,165.0
Illegal entry,Congo,Greece,2023,145.0
Illegal entry,Congo,France,2021,45.0
Illegal entry,Congo,France,2022,90.0
Illegal entry,Congo,France,2023,80.0
Illegal entry,Congo,Croatia,2021,5.0
Illegal entry,Congo,Croatia,2022,625.0
Illegal entry,Congo,Croatia,2023,625.0
Illegal entry,Congo,Hungary,2021,10.0
Illegal entry,Congo,Hungary,2022,30.0
Illegal entry,Congo,Hungary,2023,10.0
Illegal entry,Congo,Italy,2021,55.0
Illegal entry,Congo,Italy,2022,140.0
Illegal entry,Congo,Italy,2023,285.0
Illegal entry,Congo,Luxembourg,2023,5.0
Illegal entry,Congo,Latvia,2023,10.0
Illegal entry,Congo,Poland,2021,10.0
Illegal entry,Congo,Poland,2022,5.0
Illegal entry,Congo,Slovenia,2021,5.0
