geo,In thousand persons,year,Sex,Sector,workers_per_population
Austria,31.6,2010,Females,"Arts, entertainment and recreation",0.3783686635072883
Austria,72.5,2010,Females,Other service activities,0.8680926615277976
Austria,9.8,2010,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.11734218045479194
Austria,3.1,2010,Females,Activities of extraterritorial organisations and bodies,0.037118444837740315
Austria,79.6,2011,Females,"Agriculture, forestry and fishing",0.9504291498053054
Austria,124.14999999999999,2011,Females,Mining and quarrying,1.4823590320141788
Austria,168.7,2011,Females,Manufacturing,2.0142889142230525
Austria,7.8,2011,Females,"Electricity, gas, steam and air conditioning supply",0.09313250462916307
Austria,4.7,2011,Females,"Water supply; sewerage, waste management and remediation activities",0.05611830407141878
Austria,50.7,2011,Females,Construction,0.60536128008956
Austria,335.0,2011,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.999921673175594
Austria,47.5,2011,Females,Transportation and storage,0.5671530730622111
Austria,147.1,2011,Females,Accommodation and food service activities,1.7563835167884474
Austria,27.1,2011,Females,Information and communication,0.3235757532628615
Austria,66.8,2011,Females,Financial and insurance activities,0.7975963216959095
Austria,22.4,2011,Females,Real estate activities,0.2674574491914427
Austria,109.5,2011,Females,"Professional, scientific and technical activities",1.3074370842170973
Austria,83.8,2011,Females,Administrative and support service activities,1.0005774215287009
Austria,118.2,2011,Females,Public administration and defence; compulsory social security,1.4113156470727022
Austria,179.7,2011,Females,Education,2.1456296258795646
Austria,295.0,2011,Females,Human health and social work activities,3.522319085333732
Austria,31.6,2011,Females,"Arts, entertainment and recreation",0.3773060443950709
Austria,74.4,2011,Females,Other service activities,0.8883408133858633
Austria,8.2,2011,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0979085305075817
Austria,40.35,2011,Females,Activities of extraterritorial organisations and bodies,0.4817816104854783
Austria,72.5,2012,Females,"Agriculture, forestry and fishing",0.8622616158830254
Austria,123.05,2012,Females,Mining and quarrying,1.463466094267673
Austria,173.6,2012,Females,Manufacturing,2.0646705726523202
Austria,5.8,2012,Females,"Electricity, gas, steam and air conditioning supply",0.06898092927064205
Austria,4.1,2012,Females,"Water supply; sewerage, waste management and remediation activities",0.04876238103614351
Austria,56.6,2012,Females,Construction,0.6731587235721275
Austria,330.9,2012,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.9354809475268016
Austria,47.8,2012,Females,Transportation and storage,0.5684980032994292
Austria,151.2,2012,Females,Accommodation and food service activities,1.798261466503634
Austria,35.3,2012,Females,Information and communication,0.41983220745752825
Austria,73.1,2012,Females,Financial and insurance activities,0.8693975740834368
Austria,21.6,2012,Females,Real estate activities,0.25689449521480484
Austria,110.8,2012,Females,"Professional, scientific and technical activities",1.31777361434261
Austria,79.8,2012,Females,Administrative and support service activities,0.9490824406546956
Austria,120.8,2012,Females,Public administration and defence; compulsory social security,1.4367062510161308
Austria,180.6,2012,Females,Education,2.147923418323785
Austria,300.1,2012,Females,Human health and social work activities,3.5691684265723578
Austria,35.7,2012,Females,"Arts, entertainment and recreation",0.4245895129244691
Austria,70.9,2012,Females,Other service activities,0.8432323940152621
Austria,9.6,2012,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.11417533120657994
Austria,41.099999999999994,2012,Females,Activities of extraterritorial organisations and bodies,0.48881313672817017
Austria,72.6,2013,Females,"Agriculture, forestry and fishing",0.8589825198240386
Austria,127.7,2013,Females,Mining and quarrying,1.5109100245389773
Austria,182.8,2013,Females,Manufacturing,2.162837529253916
Austria,4.3,2013,Females,"Electricity, gas, steam and air conditioning supply",0.0508763751410932
Austria,3.9,2013,Females,"Water supply; sewerage, waste management and remediation activities",0.04614368908145663
Austria,57.4,2013,Females,Construction,0.6791404495578488
Austria,323.0,2013,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.8216439931565356
Austria,42.5,2013,Females,Transportation and storage,0.5028478938363864
Austria,144.3,2013,Females,Accommodation and food service activities,1.7073164960138953
Austria,34.2,2013,Females,Information and communication,0.40464465809892736
Austria,75.4,2013,Females,Financial and insurance activities,0.8921113222414947
Austria,20.3,2013,Females,Real estate activities,0.2401838175265563
Austria,112.6,2013,Females,"Professional, scientific and technical activities",1.3322511257876966
Austria,74.4,2013,Females,Administrative and support service activities,0.8802796070924034
Austria,122.2,2013,Females,Public administration and defence; compulsory social security,1.4458355912189742
Austria,194.1,2013,Females,Education,2.296535910438649
Austria,311.1,2013,Females,Human health and social work activities,3.680846582882348
Austria,33.7,2013,Females,"Arts, entertainment and recreation",0.3987288005243816
Austria,74.5,2013,Females,Other service activities,0.8814627786073125
Austria,9.3,2013,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.11003495088655042
Austria,43.8,2013,Females,Activities of extraterritorial organisations and bodies,0.5182291235302051
Austria,78.3,2014,Females,"Agriculture, forestry and fishing",0.9203334451524756
Austria,127.05000000000001,2014,Females,Mining and quarrying,1.4933379847589021
Austria,175.8,2014,Females,Manufacturing,2.0663425243653286
Austria,6.0,2014,Females,"Electricity, gas, steam and air conditioning supply",0.07052363564386786
Austria,4.8,2014,Females,"Water supply; sewerage, waste management and remediation activities",0.05641890851509429
Austria,57.2,2014,Females,Construction,0.6723253264715403
Austria,335.7,2014,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.9457974142744074
Austria,43.7,2014,Females,Transportation and storage,0.5136471462728376
Austria,141.1,2014,Females,Accommodation and food service activities,1.6584808315582928
Austria,34.8,2014,Females,Information and communication,0.4090370867344336
Austria,68.9,2014,Females,Financial and insurance activities,0.8098464159770826
Austria,16.3,2014,Females,Real estate activities,0.19158921016584105
Austria,113.8,2014,Females,"Professional, scientific and technical activities",1.3375982893786937
Austria,75.4,2014,Females,Administrative and support service activities,0.8862470212579394
Austria,128.7,2014,Females,Public administration and defence; compulsory social security,1.5127319845609655
