geo,year,EU,Ukraine,national,non_EU,foreigners,foreigners_pop_share,non_EU_pop_share,ukraine_pop_share,ukraine_for_share,non_EU_for_share,iso_a3
Belgium,2001,0.0,0.0,28182.0,82504.0,82504.0,,,,0.0,100.0,BEL
Belgium,2002,0.0,0.0,30489.0,83368.0,83368.0,,,,0.0,100.0,BEL
Belgium,2003,0.0,0.0,33314.0,78746.0,78746.0,0.7604015664971392,0.7604015664971392,0.0,0.0,100.0,BEL
Belgium,2004,0.0,0.0,33276.0,83960.0,83960.0,0.807585610471142,0.807585610471142,0.0,0.0,100.0,BEL
Belgium,2005,0.0,0.0,34922.0,97888.0,97888.0,0.9370992428382099,0.9370992428382099,0.0,0.0,100.0,BEL
Belgium,2006,0.0,0.0,35827.0,101872.0,101872.0,0.9691589555017598,0.9691589555017598,0.0,0.0,100.0,BEL
Belgium,2007,56045.0,314.0,36483.0,161698.0,217743.0,2.0571807884976328,1.527681804413874,0.0029665925774342073,0.14420670239686234,74.26094065021609,BEL
Belgium,2010,59136.0,466.0,18557.0,174121.0,233257.0,2.151836201516526,1.6062963651434214,0.004298930664060247,0.19977964219723307,74.647706178164,BEL
Belgium,2011,64690.0,668.0,13790.0,199596.0,264286.0,2.4024606572818774,1.8144038554854727,0.006072375074972924,0.2527564835065043,75.52272916461712,BEL
Belgium,2012,65685.0,570.0,13422.0,165502.0,231187.0,2.087299719236984,1.4942547726868696,0.005146313763166099,0.24655365569863358,71.58793530778115,BEL
Belgium,2013,62106.0,458.0,14549.0,149159.0,211265.0,1.8967991844836414,1.3391932859602653,0.00411205844079004,0.21678934040186496,70.6027974345017,BEL
Belgium,2014,62772.0,880.0,16813.0,149776.0,212548.0,1.9010020714007174,1.3395773483924285,0.00787060721734682,0.4140241263149971,70.4669062988125,BEL
Belgium,2015,60089.0,800.0,17864.0,195669.0,255758.0,2.2759790319253583,1.7412497016625208,0.007119164309778332,0.3127956896753963,76.5055247538689,BEL
Belgium,2016,57260.0,571.0,17615.0,153863.0,211123.0,1.8665088514246648,1.360281217142392,0.005048130967083091,0.2704584531292185,72.87836948129764,BEL
Belgium,2017,58568.0,684.0,17536.0,158756.0,217324.0,1.914457597509172,1.3985184809324607,0.00602551488421101,0.3147374427122637,73.05037639653237,BEL
Belgium,2018,62128.0,686.0,18197.0,175987.0,238115.0,2.088986628081774,1.543936710061219,0.006018288754862554,0.288096088024694,73.90840560233501,BEL
Belgium,2019,66932.0,771.0,19010.0,193543.0,260475.0,2.2737948407226245,1.6895175155311601,0.006730380352038174,0.2959976965159804,74.30386793358288,BEL
Belgium,2020,0.0,0.0,17130.0,101052.0,101052.0,0.8770017461579318,0.8770017461579318,0.0,0.0,100.0,BEL
Belgium,2021,0.0,0.0,17357.0,121674.0,121674.0,1.0530199354084768,1.0530199354084768,0.0,0.0,100.0,BEL
Belgium,2022,0.0,0.0,15936.0,191532.0,191532.0,1.648633287549441,1.648633287549441,0.0,0.0,100.0,BEL
Belgium,2023,65549.0,11972.0,15668.0,241858.0,307407.0,2.6178347984585613,2.0596287289671045,0.10195186904379501,3.894511185496752,78.67680306564262,BEL
Bosnia and Herzegovina,2007,1469.0,115.0,0.0,4158.0,5627.0,0.14638332764917533,0.10816809603079278,0.002991662107633759,2.043717789230496,73.89372667496002,BIH
Bulgaria,2007,6.0,1.0,1498.0,118.0,124.0,0.0016374667174985638,0.0015582344569744395,1.3205376754020674e-05,0.8064516129032258,95.16129032258065,BGR
Bulgaria,2012,3293.0,348.0,4964.0,16365.0,19658.0,0.2682871439442823,0.2233451577295849,0.004749411236779441,1.7702716451317528,83.24855020856648,BGR
Bulgaria,2013,1287.0,583.0,4682.0,33495.0,34782.0,0.48291189960897213,0.4650432429820747,0.008094348728423632,1.6761543327008224,96.29981024667931,BGR
Bulgaria,2014,1160.0,665.0,9502.0,44022.0,45182.0,0.6348057373894848,0.6185077723730666,0.009343229944756924,1.471825063078217,97.43260590500643,BGR
Bulgaria,2015,1136.0,837.0,10722.0,48052.0,49188.0,0.6997179107471311,0.6835578809307381,0.011906641686902267,1.7016345450109782,97.69049361632919,BGR
Bulgaria,2016,1017.0,1468.0,9254.0,42343.0,43360.0,0.6248956045310119,0.6102388049505683,0.021156520928310094,3.385608856088561,97.65452029520296,BGR
Bulgaria,2017,517.0,1316.0,13060.0,28216.0,28733.0,0.4194893713689051,0.411941395000349,0.019213030756324752,4.5800995371176,98.20067518184665,BGR
Bulgaria,2018,736.0,1089.0,16169.0,28563.0,29299.0,0.4335827678560065,0.42269103376467165,0.016115622860684364,3.716850404450664,97.48796887265777,BGR
Bulgaria,2019,916.0,1250.0,23555.0,29975.0,30891.0,0.4635381083065471,0.44979297518658345,0.018757004803443847,4.046486031530219,97.03473503609466,BGR
Bulgaria,2020,887.0,1696.0,24007.0,29429.0,30316.0,0.46148167035175114,0.44797941934231705,0.025817156383314752,5.594405594405594,97.0741522628315,BGR
Bulgaria,2021,5459.0,1799.0,22087.0,40178.0,45637.0,0.6986555813375663,0.6150839000587405,0.02754084165975594,3.941976904704516,88.03821460656923,BGR
Bulgaria,2022,7615.0,1792.0,19032.0,55981.0,63596.0,0.9810436863399894,0.8635732845619056,0.027643724226700753,2.8177872822190078,88.02597647650796,BGR
Bulgaria,2023,7592.0,9711.0,17017.0,94529.0,102121.0,1.5838336401606152,1.4660864089731083,0.15061161249497884,9.509307586098844,92.56568188717306,BGR
Croatia,1998,0.0,0.0,0.0,51801.0,51801.0,,,,0.0,100.0,HRV
Croatia,1999,119.0,0.0,31046.0,35004.0,35123.0,,,,0.0,99.66119067277852,HRV
Croatia,2001,204.0,0.0,22256.0,27347.0,27551.0,,,,0.0,99.25955500707778,HRV
Croatia,2002,387.0,39.0,18368.0,3300.0,3687.0,,,,1.0577705451586654,89.50366151342554,HRV
Croatia,2003,439.0,27.0,16355.0,3748.0,4187.0,0.09725032656785086,0.08705379125299857,0.0006271217619613023,0.6448531167900645,89.51516598996895,HRV
Croatia,2004,323.0,21.0,16857.0,2729.0,3052.0,0.07088237172601594,0.06338073146798738,0.00048772274123405466,0.6880733944954129,89.41677588466578,HRV
Croatia,2006,272.0,10.0,13944.0,1785.0,2057.0,0.047698694512006645,0.04139142912198924,0.0002318847569859341,0.48614487117160915,86.77685950413223,HRV
Croatia,2007,241.0,19.0,13704.0,1592.0,1833.0,0.042494198487085987,0.03690712710935127,0.00044047450695833805,1.0365521003818876,86.85215493726132,HRV
Croatia,2008,864.0,43.0,12409.0,8110.0,8974.0,0.20811847586032084,0.1880812167625587,0.0009972247004673273,0.4791620236238021,90.37218631602407,HRV
Croatia,2009,1106.0,53.0,7538.0,10254.0,11360.0,0.2635855618224157,0.23792309427174743,0.0012297565824461296,0.4665492957746479,90.26408450704226,HRV
Croatia,2010,1240.0,68.0,4145.0,8177.0,9417.0,0.21885509756679705,0.190036968546639,0.0015803490107828607,0.7220983328023787,86.83232451948604,HRV
Croatia,2011,1002.0,52.0,4720.0,6642.0,7644.0,0.178187757773744,0.15483033583636938,0.0012121616175084623,0.6802721088435374,86.8916797488226,HRV
Croatia,2012,1287.0,89.0,4208.0,8238.0,9525.0,0.22275574464263667,0.1926574093822615,0.0020813922596529828,0.9343832020997376,86.48818897637796,HRV
Croatia,2013,1764.0,65.0,5085.0,8852.0,10616.0,0.24991742790331847,0.2083900783534453,0.0015302027895361435,0.6122833458929917,83.38357196684251,HRV
Croatia,2014,2212.0,91.0,4824.0,9490.0,11702.0,0.27745426817702445,0.2250077768757445,0.002157608819356454,0.7776448470346949,81.09724833361818,HRV
Croatia,2015,2104.0,104.0,6483.0,8372.0,10476.0,0.25056716053782485,0.20024324818849462,0.002487493766316703,0.9927453226422298,79.9159984726995,HRV
Croatia,2016,2107.0,206.0,7733.0,10441.0,12548.0,0.3037436624252774,0.25274048289626405,0.004986547215461201,1.6416958877908832,83.20847943895441,HRV
Croatia,2017,2087.0,223.0,7911.0,13250.0,15337.0,0.37602031397218133,0.32485291518102644,0.005467335855499539,1.4540001304035992,86.39238442981026,HRV
Croatia,2018,2108.0,618.0,8619.0,32760.0,34868.0,0.8685859023934438,0.8160741700817145,0.015394805772603774,1.772398761041643,93.95434209016864,HRV
Croatia,2019,2314.0,1071.0,9882.0,53417.0,55731.0,1.4042718528799025,1.345965253903317,0.026986329949837174,1.9217311729558058,95.84791229297878,HRV
Croatia,2020,3814.0,951.0,8460.0,46109.0,49923.0,1.2691714857286531,1.1722097637454172,0.024176874044587647,1.9049335977405202,92.36023476153275,HRV
Croatia,2021,4753.0,735.0,10622.0,45872.0,50625.0,1.3004023091548835,1.1783121921096853,0.018879915006989424,1.451851851851852,90.61135802469136,HRV
Croatia,2022,5167.0,11121.0,10340.0,90197.0,95364.0,2.4690955271528274,2.335315310416966,0.28793686671560115,11.661633320749969,94.581812843421,HRV
Croatia,2023,4649.0,13101.0,10852.0,112586.0,117235.0,3.044358011412415,2.9236327979944394,0.34020671563538235,11.174990403889623,96.03446069859683,HRV
Cyprus,2009,0.0,0.0,2106.0,20452.0,20452.0,2.5663483618385556,2.5663483618385556,0.0,0.0,100.0,CYP
Cyprus,2010,0.0,0.0,1881.0,18308.0,18308.0,2.2350269795151014,2.2350269795151014,0.0,0.0,100.0,CYP
Cyprus,2011,0.0,0.0,2054.0,20956.0,20956.0,2.4955016427488625,2.4955016427488625,0.0,0.0,100.0,CYP
Cyprus,2012,0.0,0.0,1719.0,14419.0,14419.0,1.6727164734556752,1.6727164734556752,0.0,0.0,100.0,CYP
Cyprus,2013,0.0,0.0,1444.0,12222.0,12222.0,1.4115152481065463,1.4115152481065463,0.0,0.0,100.0,CYP
Cyprus,2014,0.0,0.0,1910.0,11093.0,11093.0,1.2928904428904429,1.2928904428904429,0.0,0.0,100.0,CYP
Cyprus,2015,0.0,0.0,3046.0,12318.0,12318.0,1.4542955910687974,1.4542955910687974,0.0,0.0,100.0,CYP
Cyprus,2016,0.0,0.0,2997.0,15593.0,15593.0,1.8381057125916076,1.8381057125916076,0.0,0.0,100.0,CYP
Cyprus,2017,0.0,0.0,2184.0,20274.0,20274.0,2.371777323871493,2.371777323871493,0.0,0.0,100.0,CYP
Cyprus,2018,0.0,0.0,2533.0,23207.0,23207.0,2.68526189605617,2.68526189605617,0.0,0.0,100.0,CYP
Cyprus,2019,0.0,0.0,2958.0,24595.0,24595.0,2.8079721520403607,2.8079721520403607,0.0,0.0,100.0,CYP
Cyprus,2020,0.0,0.0,3984.0,18866.0,18866.0,2.124537587063136,2.124537587063136,0.0,0.0,100.0,CYP
Cyprus,2021,0.0,0.0,2028.0,23445.0,23445.0,2.6166090220277294,2.6166090220277294,0.0,0.0,100.0,CYP
