geo,quarter,Country of citizenship,Sex,unemployment_rate,employment_rate
Austria,1998-Q1,Foreign country,Females,8.903225806451614,57.60913912688698
Austria,1998-Q1,Foreign country,Males,10.341643582640812,75.82975400234282
Austria,1998-Q1,Foreign country,Total,9.739036857680928,66.93274795450009
Austria,1998-Q1,Reporting country,Females,5.249204665959704,59.09955349760211
Austria,1998-Q1,Reporting country,Males,4.824378005435919,75.90778338266561
Austria,1998-Q1,Reporting country,Total,5.014757883047429,67.47208037530619
Austria,1998-Q1,Total,Females,5.600863516430799,58.97359056002996
Austria,1998-Q1,Total,Males,5.388435947896167,75.88034123792701
Austria,1998-Q1,Total,Total,5.481613972328897,67.41332733003152
Austria,1999-Q1,Foreign country,Females,9.24775707384403,55.762711864406775
Austria,1999-Q1,Foreign country,Males,8.222433460076045,79.29334428923582
Austria,1999-Q1,Foreign country,Total,8.640585420771178,67.70963704630789
Austria,1999-Q1,Reporting country,Females,4.358907332374852,60.03856252051199
Austria,1999-Q1,Reporting country,Males,4.309048483277158,76.48911917098445
Austria,1999-Q1,Reporting country,Total,4.331232290522177,68.22127378816931
Austria,1999-Q1,Total,Females,4.794479804889655,59.698597433601904
Austria,1999-Q1,Total,Males,4.691507718136454,76.73187399091353
Austria,1999-Q1,Total,Total,4.739497555747262,68.1873467936603
Austria,1999-Q2,Total,Females,3.564932702801018,59.33524825605252
Austria,1999-Q2,Total,Males,3.480614006438669,77.61894041722948
Austria,1999-Q2,Total,Total,3.5173759426251126,68.44743733632622
Austria,1999-Q3,Total,Females,3.465673614030873,59.837682885968505
Austria,1999-Q3,Total,Males,3.0367855648049105,78.30985915492957
Austria,1999-Q3,Total,Total,3.221325225414133,69.03301798601504
Austria,1999-Q4,Total,Females,3.606438339586107,59.39375862197532
Austria,1999-Q4,Total,Males,3.4983652498832325,77.67501315888413
Austria,1999-Q4,Total,Total,3.548080978490088,68.4962279338812
Austria,2000-Q1,Foreign country,Females,9.022556390977444,58.61929753734356
Austria,2000-Q1,Foreign country,Males,7.854406130268197,78.46655791190865
Austria,2000-Q1,Foreign country,Total,8.358208955223882,68.49259484682491
Austria,2000-Q1,Reporting country,Females,4.133315837816559,59.782341870550695
Austria,2000-Q1,Reporting country,Males,4.392925678128727,76.02903571723172
Austria,2000-Q1,Reporting country,Total,4.2783072154795345,67.87298718370029
Austria,2000-Q1,Total,Females,4.6131040616661725,59.663242220821125
Austria,2000-Q1,Total,Males,4.8076923076923075,76.20506688588297
Austria,2000-Q1,Total,Total,4.722106142916841,67.9000856196255
Austria,2000-Q2,Foreign country,Females,5.68585643212509,57.52058951018638
