ISCED,geo,year,Percentage
levels 5-8,Serbia,2016,31.6
levels 5-8,Serbia,2017,32.7
levels 5-8,Serbia,2018,29.0
levels 5-8,Serbia,2019,31.2
levels 5-8,Serbia,2020,27.6
levels 5-8,Serbia,2021,38.8
levels 5-8,Serbia,2022,50.2
levels 5-8,Serbia,2023,53.9
levels 5-8,Serbia,2024,47.8
levels 5-8,Sweden,2014,39.3
levels 5-8,Sweden,2015,39.3
levels 5-8,Sweden,2016,41.6
levels 5-8,Sweden,2017,43.3
levels 5-8,Sweden,2018,41.3
levels 5-8,Sweden,2019,39.9
levels 5-8,Sweden,2020,38.3
levels 5-8,Sweden,2021,40.8
levels 5-8,Sweden,2022,43.9
levels 5-8,Sweden,2023,47.5
levels 5-8,Sweden,2024,49.6
levels 5-8,Slovenia,2014,12.1
levels 5-8,Slovenia,2015,9.3
levels 5-8,Slovenia,2016,9.9
levels 5-8,Slovenia,2017,14.2
levels 5-8,Slovenia,2018,13.6
levels 5-8,Slovenia,2019,13.0
levels 5-8,Slovenia,2020,16.4
levels 5-8,Slovenia,2021,15.9
levels 5-8,Slovenia,2022,14.1
levels 5-8,Slovenia,2023,10.9
levels 5-8,Slovenia,2024,14.2
levels 5-8,Slovakia,2014,52.5
levels 5-8,Slovakia,2015,37.9
levels 5-8,Slovakia,2016,26.4
levels 5-8,Slovakia,2017,31.7
levels 5-8,Slovakia,2018,35.5
levels 5-8,Slovakia,2019,39.8
levels 5-8,Slovakia,2020,40.5
levels 5-8,Slovakia,2022,40.7
levels 5-8,Slovakia,2023,46.5
levels 5-8,Slovakia,2024,42.0
