border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE
Total,Person,Total,Total,Iceland,2014,15
Total,Person,Total,Total,Iceland,2015,20
Total,Person,Total,Total,Iceland,2016,25
Total,Person,Total,Total,Iceland,2017,55
Total,Person,Total,Total,Iceland,2018,160
Total,Person,Total,Total,Iceland,2019,25
Total,Person,Total,Total,Iceland,2020,15
Total,Person,Total,Total,Iceland,2021,55
Total,Person,Total,Total,Italy,2014,7005
Total,Person,Total,Total,Italy,2015,7425
Total,Person,Total,Total,Italy,2016,9715
Total,Person,Total,Total,Italy,2017,11260
Total,Person,Total,Total,Italy,2018,8245
Total,Person,Total,Total,Italy,2019,9720
Total,Person,Total,Total,Italy,2020,4060
Total,Person,Total,Total,Italy,2021,5760
Total,Person,Total,Total,Italy,2022,5795
Total,Person,Total,Total,Italy,2023,6295
Total,Person,Total,Total,Liechtenstein,2014,10
Total,Person,Total,Total,Liechtenstein,2015,0
Total,Person,Total,Total,Liechtenstein,2016,0
Total,Person,Total,Total,Liechtenstein,2017,0
Total,Person,Total,Total,Liechtenstein,2018,0
Total,Person,Total,Total,Liechtenstein,2019,0
Total,Person,Total,Total,Liechtenstein,2020,0
Total,Person,Total,Total,Liechtenstein,2021,0
Total,Person,Total,Total,Liechtenstein,2022,0
Total,Person,Total,Total,Liechtenstein,2023,0
Total,Person,Total,Total,Lithuania,2014,3450
Total,Person,Total,Total,Lithuania,2015,3480
Total,Person,Total,Total,Lithuania,2016,4575
Total,Person,Total,Total,Lithuania,2017,5180
Total,Person,Total,Total,Lithuania,2018,5200
Total,Person,Total,Total,Lithuania,2019,6085
Total,Person,Total,Total,Lithuania,2020,4555
Total,Person,Total,Total,Lithuania,2021,3585
Total,Person,Total,Total,Lithuania,2022,5240
Total,Person,Total,Total,Lithuania,2023,4255
Total,Person,Total,Total,Luxembourg,2014,5
Total,Person,Total,Total,Luxembourg,2015,5
Total,Person,Total,Total,Luxembourg,2016,10
Total,Person,Total,Total,Luxembourg,2017,5
Total,Person,Total,Total,Luxembourg,2018,5
Total,Person,Total,Total,Luxembourg,2019,5
Total,Person,Total,Total,Luxembourg,2020,5
Total,Person,Total,Total,Luxembourg,2021,5
Total,Person,Total,Total,Luxembourg,2022,10
Total,Person,Total,Total,Luxembourg,2023,10
Total,Person,Total,Total,Latvia,2014,2050
Total,Person,Total,Total,Latvia,2015,875
Total,Person,Total,Total,Latvia,2016,800
Total,Person,Total,Total,Latvia,2017,1065
Total,Person,Total,Total,Latvia,2018,1685
Total,Person,Total,Total,Latvia,2019,1800
Total,Person,Total,Total,Latvia,2020,640
Total,Person,Total,Total,Latvia,2021,855
Total,Person,Total,Total,Latvia,2022,2260
Total,Person,Total,Total,Latvia,2023,3625
Total,Person,Total,Total,Montenegro,2021,815
Total,Person,Total,Total,Montenegro,2022,805
Total,Person,Total,Total,Montenegro,2023,520
Total,Person,Total,Total,Malta,2014,275
Total,Person,Total,Total,Malta,2015,400
Total,Person,Total,Total,Malta,2016,380
Total,Person,Total,Total,Malta,2017,460
Total,Person,Total,Total,Malta,2018,405
Total,Person,Total,Total,Malta,2019,385
Total,Person,Total,Total,Malta,2020,110
Total,Person,Total,Total,Malta,2021,265
Total,Person,Total,Total,Malta,2022,350
Total,Person,Total,Total,Malta,2023,365
Total,Person,Total,Total,Netherlands,2014,2310
Total,Person,Total,Total,Netherlands,2015,2295
Total,Person,Total,Total,Netherlands,2016,2700
Total,Person,Total,Total,Netherlands,2017,2410
Total,Person,Total,Total,Netherlands,2018,2555
Total,Person,Total,Total,Netherlands,2019,2900
Total,Person,Total,Total,Netherlands,2020,1980
Total,Person,Total,Total,Netherlands,2021,3745
Total,Person,Total,Total,Netherlands,2022,3070
Total,Person,Total,Total,Netherlands,2023,2475
Total,Person,Total,Total,Norway,2014,250
Total,Person,Total,Total,Norway,2015,465
Total,Person,Total,Total,Norway,2016,525
Total,Person,Total,Total,Norway,2017,385
Total,Person,Total,Total,Norway,2018,360
Total,Person,Total,Total,Norway,2019,350
Total,Person,Total,Total,Norway,2020,125
Total,Person,Total,Total,Norway,2021,1975
Total,Person,Total,Total,Norway,2022,495
Total,Person,Total,Total,Norway,2023,320
Total,Person,Total,Total,Poland,2014,20125
Total,Person,Total,Total,Poland,2015,30245
Total,Person,Total,Total,Poland,2016,34485
Total,Person,Total,Total,Poland,2017,38660
Total,Person,Total,Total,Poland,2018,53695
Total,Person,Total,Total,Poland,2019,65425
Total,Person,Total,Total,Poland,2020,28130
Total,Person,Total,Total,Poland,2021,26160
Total,Person,Total,Total,Poland,2022,23330
Total,Person,Total,Total,Poland,2023,14850
Total,Person,Total,Total,Portugal,2014,955
Total,Person,Total,Total,Portugal,2015,1280
Total,Person,Total,Total,Portugal,2016,1655
Total,Person,Total,Total,Portugal,2017,2140
Total,Person,Total,Total,Portugal,2018,3760
Total,Person,Total,Total,Portugal,2019,4995
Total,Person,Total,Total,Portugal,2020,1510
Total,Person,Total,Total,Portugal,2021,1150
Total,Person,Total,Total,Portugal,2022,1750
Total,Person,Total,Total,Portugal,2023,1560
Total,Person,Total,Total,Romania,2014,4045
Total,Person,Total,Total,Romania,2015,4810
Total,Person,Total,Total,Romania,2016,5390
Total,Person,Total,Total,Romania,2017,5305
Total,Person,Total,Total,Romania,2018,7260
Total,Person,Total,Total,Romania,2019,7640
Total,Person,Total,Total,Romania,2020,12570
Total,Person,Total,Total,Romania,2021,11010
Total,Person,Total,Total,Romania,2022,8945
Total,Person,Total,Total,Romania,2023,7155
Total,Person,Total,Total,Sweden,2014,345
Total,Person,Total,Total,Sweden,2015,615
Total,Person,Total,Total,Sweden,2016,1405
Total,Person,Total,Total,Sweden,2017,880
Total,Person,Total,Total,Sweden,2018,1090
Total,Person,Total,Total,Sweden,2019,1565
Total,Person,Total,Total,Sweden,2020,1200
Total,Person,Total,Total,Sweden,2021,550
Total,Person,Total,Total,Sweden,2022,905
Total,Person,Total,Total,Sweden,2023,905
Total,Person,Total,Total,Slovenia,2014,4410
Total,Person,Total,Total,Slovenia,2015,4410
Total,Person,Total,Total,Slovenia,2016,4455
Total,Person,Total,Total,Slovenia,2017,3680
Total,Person,Total,Total,Slovenia,2018,3535
Total,Person,Total,Total,Slovenia,2019,3875
Total,Person,Total,Total,Slovenia,2020,4260
Total,Person,Total,Total,Slovenia,2021,3905
Total,Person,Total,Total,Slovenia,2022,4025
Total,Person,Total,Total,Slovenia,2023,735
Total,Person,Total,Total,Slovakia,2014,455
Total,Person,Total,Total,Slovakia,2015,465
Total,Person,Total,Total,Slovakia,2016,750
Total,Person,Total,Total,Slovakia,2017,1085
Total,Person,Total,Total,Slovakia,2018,1755
Total,Person,Total,Total,Slovakia,2019,1375
Total,Person,Total,Total,Slovakia,2020,435
Total,Person,Total,Total,Slovakia,2021,465
Total,Person,Total,Total,Slovakia,2022,1110
Total,Person,Total,Total,Slovakia,2023,985
Total,Person,Total,Total,United Kingdom,2014,15905
Total,Person,Total,Total,United Kingdom,2015,14950
Total,Person,Total,Total,United Kingdom,2016,14480
Total,Person,Total,Total,United Kingdom,2017,14280
Total,Person,Total,Total,United Kingdom,2018,16540
Total,Person,Total,Total,United Kingdom,2019,18275
