indic_de,geo,TIME_PERIOD,OBS_VALUE
Population on 1 January - total,Poland,2005,38173835
Population on 1 January - total,Poland,2006,38157055
Population on 1 January - total,Poland,2007,38125479
Population on 1 January - total,Poland,2008,38115641
Population on 1 January - total,Poland,2009,38135876
Population on 1 January - total,Poland,2010,38022869
Population on 1 January - total,Poland,2011,38062718
Population on 1 January - total,Poland,2012,38063792
Population on 1 January - total,Poland,2013,38062535
Population on 1 January - total,Poland,2014,38017856
Population on 1 January - total,Poland,2015,38005614
Population on 1 January - total,Poland,2016,37967209
Population on 1 January - total,Poland,2017,37972964
Population on 1 January - total,Poland,2018,37976687
Population on 1 January - total,Poland,2019,37972812
Population on 1 January - total,Poland,2020,37958138
Population on 1 January - total,Poland,2021,37073357
Population on 1 January - total,Poland,2022,36889761
Population on 1 January - total,Poland,2023,36753736
Population on 1 January - total,Poland,2024,36620970
Population on 1 January - total,Portugal,2003,10444592
Population on 1 January - total,Portugal,2004,10473050
Population on 1 January - total,Portugal,2005,10494672
Population on 1 January - total,Portugal,2006,10511988
Population on 1 January - total,Portugal,2007,10532588
Population on 1 January - total,Portugal,2008,10553339
Population on 1 January - total,Portugal,2009,10563014
Population on 1 January - total,Portugal,2010,10573479
Population on 1 January - total,Portugal,2011,10572721
Population on 1 January - total,Portugal,2012,10558950
Population on 1 January - total,Portugal,2013,10503889
Population on 1 January - total,Portugal,2014,10444092
Population on 1 January - total,Portugal,2015,10395121
Population on 1 January - total,Portugal,2016,10368554
Population on 1 January - total,Portugal,2017,10344478
Population on 1 January - total,Portugal,2018,10335770
Population on 1 January - total,Portugal,2019,10333496
Population on 1 January - total,Portugal,2020,10375395
Population on 1 January - total,Portugal,2021,10394297
Population on 1 January - total,Portugal,2022,10421117
Population on 1 January - total,Portugal,2023,10516621
Population on 1 January - total,Portugal,2024,10639726
Population on 1 January - total,Romania,2003,21627509
Population on 1 January - total,Romania,2004,21521142
Population on 1 January - total,Romania,2005,21382354
Population on 1 January - total,Romania,2006,21257016
Population on 1 January - total,Romania,2007,21130503
Population on 1 January - total,Romania,2008,20635460
Population on 1 January - total,Romania,2009,20440290
Population on 1 January - total,Romania,2010,20294683
Population on 1 January - total,Romania,2011,20199059
Population on 1 January - total,Romania,2012,20095996
Population on 1 January - total,Romania,2013,20020074
Population on 1 January - total,Romania,2014,19947311
Population on 1 January - total,Romania,2015,19870647
Population on 1 January - total,Romania,2016,19760585
Population on 1 January - total,Romania,2017,19643949
Population on 1 January - total,Romania,2018,19533481
Population on 1 January - total,Romania,2019,19414458
Population on 1 January - total,Romania,2020,19328838
Population on 1 January - total,Romania,2021,19201662
Population on 1 January - total,Romania,2022,19042455
Population on 1 January - total,Romania,2023,19054548
Population on 1 January - total,Romania,2024,19067576
Population on 1 January - total,Serbia,2003,7490918
Population on 1 January - total,Serbia,2004,7470263
Population on 1 January - total,Serbia,2005,7456050
Population on 1 January - total,Serbia,2006,7425487
Population on 1 January - total,Serbia,2007,7397651
Population on 1 January - total,Serbia,2008,7365507
Population on 1 January - total,Serbia,2009,7334937
Population on 1 January - total,Serbia,2010,7306677
Population on 1 January - total,Serbia,2011,7251549
Population on 1 January - total,Serbia,2012,7216649
Population on 1 January - total,Serbia,2013,7181505
Population on 1 January - total,Serbia,2014,7146759
Population on 1 January - total,Serbia,2015,7114393
Population on 1 January - total,Serbia,2016,7076372
Population on 1 January - total,Serbia,2017,7040272
Population on 1 January - total,Serbia,2018,7001444
Population on 1 January - total,Serbia,2019,6963764
Population on 1 January - total,Serbia,2020,6926705
Population on 1 January - total,Serbia,2021,6871547
Population on 1 January - total,Serbia,2022,6797105
Population on 1 January - total,Serbia,2023,6641197
Population on 1 January - total,Serbia,2024,6605168
Population on 1 January - total,Russia,2003,145166731
Population on 1 January - total,Russia,2004,144168205
Population on 1 January - total,Russia,2005,143474219
Population on 1 January - total,Russia,2006,142753551
Population on 1 January - total,Russia,2007,142220968
Population on 1 January - total,Russia,2008,142008838
Population on 1 January - total,Russia,2009,141903979
Population on 1 January - total,Russia,2010,141914509
Population on 1 January - total,Russia,2011,142856536
Population on 1 January - total,Russia,2012,143056383
Population on 1 January - total,Russia,2014,143666931
Population on 1 January - total,Sweden,2003,8940788
Population on 1 January - total,Sweden,2004,8975670
Population on 1 January - total,Sweden,2005,9011392
Population on 1 January - total,Sweden,2006,9047752
Population on 1 January - total,Sweden,2007,9113257
Population on 1 January - total,Sweden,2008,9182927
Population on 1 January - total,Sweden,2009,9256347
Population on 1 January - total,Sweden,2010,9340682
Population on 1 January - total,Sweden,2011,9415570
Population on 1 January - total,Sweden,2012,9482855
Population on 1 January - total,Sweden,2013,9555893
Population on 1 January - total,Sweden,2014,9644864
Population on 1 January - total,Sweden,2015,9747355
Population on 1 January - total,Sweden,2016,9851017
Population on 1 January - total,Sweden,2017,9995153
Population on 1 January - total,Sweden,2018,10120242
Population on 1 January - total,Sweden,2019,10230185
Population on 1 January - total,Sweden,2020,10327589
Population on 1 January - total,Sweden,2021,10379295
Population on 1 January - total,Sweden,2022,10452326
Population on 1 January - total,Sweden,2023,10521556
Population on 1 January - total,Sweden,2024,10551707
Population on 1 January - total,Slovenia,2003,1995033
Population on 1 January - total,Slovenia,2004,1996433
Population on 1 January - total,Slovenia,2005,1997590
Population on 1 January - total,Slovenia,2006,2003358
Population on 1 January - total,Slovenia,2007,2010377
Population on 1 January - total,Slovenia,2008,2010269
Population on 1 January - total,Slovenia,2009,2032362
Population on 1 January - total,Slovenia,2010,2046976
Population on 1 January - total,Slovenia,2011,2050189
Population on 1 January - total,Slovenia,2012,2055496
Population on 1 January - total,Slovenia,2013,2058821
Population on 1 January - total,Slovenia,2014,2061085
Population on 1 January - total,Slovenia,2015,2062874
Population on 1 January - total,Slovenia,2016,2064188
Population on 1 January - total,Slovenia,2017,2065895
Population on 1 January - total,Slovenia,2018,2066880
Population on 1 January - total,Slovenia,2019,2080908
Population on 1 January - total,Slovenia,2020,2095861
Population on 1 January - total,Slovenia,2021,2108977
Population on 1 January - total,Slovenia,2022,2107180
Population on 1 January - total,Slovenia,2023,2116972
Population on 1 January - total,Slovenia,2024,2123949
Population on 1 January - total,Slovakia,2003,5374873
Population on 1 January - total,Slovakia,2004,5371875
Population on 1 January - total,Slovakia,2005,5372685
Population on 1 January - total,Slovakia,2006,5372928
Population on 1 January - total,Slovakia,2007,5373180
Population on 1 January - total,Slovakia,2008,5376064
Population on 1 January - total,Slovakia,2009,5382401
Population on 1 January - total,Slovakia,2010,5390410
Population on 1 January - total,Slovakia,2011,5392446
Population on 1 January - total,Slovakia,2012,5404322
Population on 1 January - total,Slovakia,2013,5410836
Population on 1 January - total,Slovakia,2014,5415949
Population on 1 January - total,Slovakia,2015,5421349
Population on 1 January - total,Slovakia,2016,5426252
Population on 1 January - total,Slovakia,2017,5435343
Population on 1 January - total,Slovakia,2018,5443120
Population on 1 January - total,Slovakia,2019,5450421
Population on 1 January - total,Slovakia,2020,5457873
Population on 1 January - total,Slovakia,2021,5459781
Population on 1 January - total,Slovakia,2022,5434712
Population on 1 January - total,Slovakia,2023,5428792
Population on 1 January - total,Slovakia,2024,5424687
Population on 1 January - total,San Marino,2004,29241
Population on 1 January - total,San Marino,2005,29673
Population on 1 January - total,San Marino,2006,29999
Population on 1 January - total,San Marino,2007,30368
Population on 1 January - total,San Marino,2008,32054
Population on 1 January - total,San Marino,2009,31269
Population on 1 January - total,San Marino,2011,31863
Population on 1 January - total,San Marino,2012,33376
Population on 1 January - total,San Marino,2013,33562
Population on 1 January - total,San Marino,2014,32520
Population on 1 January - total,San Marino,2015,32789
Population on 1 January - total,San Marino,2016,33005
Population on 1 January - total,San Marino,2017,33196
Population on 1 January - total,San Marino,2018,34453
Population on 1 January - total,San Marino,2019,34590
Population on 1 January - total,San Marino,2020,34735
Population on 1 January - total,San Marino,2021,34805
Population on 1 January - total,San Marino,2022,33698
Population on 1 January - total,San Marino,2023,33812
Population on 1 January - total,Türkiye,2003,66401851
Population on 1 January - total,Türkiye,2004,67187251
Population on 1 January - total,Türkiye,2005,68010221
Population on 1 January - total,Türkiye,2006,68860539
Population on 1 January - total,Türkiye,2007,69729967
Population on 1 January - total,Türkiye,2008,70586256
Population on 1 January - total,Türkiye,2009,71517100
Population on 1 January - total,Türkiye,2010,72561312
Population on 1 January - total,Türkiye,2011,73722988
Population on 1 January - total,Türkiye,2012,74724269
Population on 1 January - total,Türkiye,2013,75627384
Population on 1 January - total,Türkiye,2014,76667864
Population on 1 January - total,Türkiye,2015,77695904
Population on 1 January - total,Türkiye,2016,78741053
Population on 1 January - total,Türkiye,2017,79814871
Population on 1 January - total,Türkiye,2018,80810525
Population on 1 January - total,Türkiye,2019,82003882
Population on 1 January - total,Türkiye,2020,83154997
Population on 1 January - total,Türkiye,2021,83614362
Population on 1 January - total,Türkiye,2022,84680273
Population on 1 January - total,Türkiye,2023,85279553
Population on 1 January - total,Türkiye,2024,85372377
Population on 1 January - total,Ukraine,2003,47823108
Population on 1 January - total,Ukraine,2004,47442079
Population on 1 January - total,Ukraine,2005,47100462
Population on 1 January - total,Ukraine,2006,46749170
Population on 1 January - total,Ukraine,2007,46465691
Population on 1 January - total,Ukraine,2008,46192309
Population on 1 January - total,Ukraine,2009,45963359
Population on 1 January - total,Ukraine,2010,45782592
Population on 1 January - total,Ukraine,2011,45598179
Population on 1 January - total,Ukraine,2012,45453282
Population on 1 January - total,Ukraine,2013,45372692
Population on 1 January - total,Ukraine,2014,45245894
Population on 1 January - total,Ukraine,2015,42759661
Population on 1 January - total,Ukraine,2016,42590879
Population on 1 January - total,Ukraine,2017,42414905
Population on 1 January - total,Ukraine,2018,42216766
Population on 1 January - total,Ukraine,2019,41983564
Population on 1 January - total,Ukraine,2020,41732779
Population on 1 January - total,Ukraine,2022,40997698
Population on 1 January - total,United Kingdom,2003,59501394
Population on 1 January - total,United Kingdom,2004,59793759
Population on 1 January - total,United Kingdom,2005,60182050
Population on 1 January - total,United Kingdom,2006,60620361
Population on 1 January - total,United Kingdom,2007,61073279
Population on 1 January - total,United Kingdom,2008,61571647
Population on 1 January - total,United Kingdom,2009,62042343
Population on 1 January - total,United Kingdom,2010,62510197
Population on 1 January - total,United Kingdom,2011,63022532
Population on 1 January - total,United Kingdom,2012,63495088
Population on 1 January - total,United Kingdom,2013,63905342
Population on 1 January - total,United Kingdom,2014,64351203
Population on 1 January - total,United Kingdom,2015,64853393
Population on 1 January - total,United Kingdom,2016,65379044
Population on 1 January - total,United Kingdom,2017,65844142
Population on 1 January - total,United Kingdom,2018,66273576
Population on 1 January - total,United Kingdom,2019,66647112
Population on 1 January - total,United Kingdom,2020,67025542
Population on 1 January - total,Kosovo*,2003,1985000
Population on 1 January - total,Kosovo*,2004,2016000
Population on 1 January - total,Kosovo*,2005,2041000
Population on 1 January - total,Kosovo*,2006,2100000
Population on 1 January - total,Kosovo*,2007,2126708
Population on 1 January - total,Kosovo*,2008,2153139
Population on 1 January - total,Kosovo*,2009,2180686
Population on 1 January - total,Kosovo*,2010,2208107
Population on 1 January - total,Kosovo*,2011,1794180
Population on 1 January - total,Kosovo*,2012,1780021
Population on 1 January - total,Kosovo*,2013,1815606
Population on 1 January - total,Kosovo*,2014,1820631
Population on 1 January - total,Kosovo*,2015,1804944
Population on 1 January - total,Kosovo*,2016,1771604
Population on 1 January - total,Kosovo*,2017,1783531
Population on 1 January - total,Kosovo*,2018,1798506
Population on 1 January - total,Kosovo*,2019,1795666
Population on 1 January - total,Kosovo*,2020,1782115
Population on 1 January - total,Kosovo*,2021,1798186
Population on 1 January - total,Kosovo*,2022,1773971
